Governor ID,Power,T4-Kills,T5-Kills,Kill Points
158704496,14.707.215,43.380,0,702.904
158654481,14.664.040,772.919,7.715,19.690.151
158804738,14.640.169,16.508,5.999,332.952
158955564,14.581.684,24.825,0,728.244
158821975,14.475.783,514.038,49.104,10.025.253
158389468,14.430.707,253.769,55.432,4.336.224
24433142,14.230.867,13.723,19.109,2.095.444
158726753,14.199.068,149.650,0,1.628.420
158545013,14.148.761,163.541,2.703,3.572.236
158708183,14.135.037,273.145,1.200,2.948.812
158960351,14.071.080,799.508,40.727,11.337.737
158818654,14.064.731,240.287,2.957,2.530.822
159446199,14.024.892,1.200.680,0,22.340.262
158736920,14.008.074,168.867,21.997,3.069.530
124628469,13.985.153,1.097.845,84.810,24.430.780
158352560,13.974.478,662.793,34.706,9.770.067
157601418,13.841.989,625.423,0,12.635.925
158761251,13.800.266,9.622,0,296.541
10238650,13.685.202,932.334,113.771,12.575.473
158747217,13.677.273,285.838,50,2.983.516
157594795,13.641.617,6.568,0,127.994
158796067,13.627.574,94.508,0,2.300.679
155105553,13.578.862,705.732,0,9.514.323
158815973,13.527.390,195.217,0,3.021.973
158717956,13.500.910,19.690,0,383.109
158776178,13.412.678,77.961,0,1.975.160
158810053,13.379.195,12.608,0,452.605
158383156,13.375.773,621.858,48.594,10.375.804
141148927,13.557.351,82.231,0,888.913
158724882,13.184.011,72.510,3.331,1.413.230
158743388,13.179.781,42.620,0,781.946
158726839,13.112.890,13.250,0,298.824
158799343,13.093.282,20.404,0,560.445
158024628,13.089.056,93.041,0,2.966.347
158779486,13.040.702,357.855,45,5.897.784
158705202,12.972.704,148.192,0,1.968.751
158841854,12.956.557,159.389,0,2.897.784
158816520,12.777.245,3.685,0,110.991
163654090,12.775.347,1.819,0,37.612
158390317,12.753.584,494.515,11.992,8.872.871
158750158,12.740.748,656.254,8.612,12.561.135
158598833,12.740.145,111.281,0,1.499.528
110231538,12.690.554,1.096.454,26.308,12.685.089
158559127,12.566.659,138.352,0,1.550.473
158715976,12.517.918,54.785,0,1.195.834
158723988,12.450.664,962,0,37.254
158724760,12.452.142,63.269,0,873.926
109185084,12.447.101,104.083,0,1.084.329
152799717,12.417.843,35.281,234,402.030
158695173,12.309.577,307.794,46.887,4.735.459
158755363,12.035.107,204.169,3.800,3.092.261
159750372,11.941.983,46.422,0,1.386.137
129760821,11.758.217,2.957,0,479.777
58765523,11.726.185,300.818,22.275,4.494.696
158727874,11.722.155,74.705,7.415,2.763.939
158762296,11.721.708,310.479,12.388,4.582.471
158826095,11.636.964,13.908,0,511.157
158824016,11.577.748,128.720,0,5.357.205
157135155,11.533.240,183.320,879,1.852.268
167713563,11.509.487,10.272,0,165.328
122053316,11.580.359,80.531,2.228,1.647.630
157474281,11.458.109,1.328.174,29.591,18.207.613
161877041,11.364.801,295.029,0,3.038.193
158019569,11.313.229,680.730,0,7.328.276
154611984,11.237.578,237.088,11.610,7.617.655
158769312,11.273.615,34.622,0,565.053
158698462,11.221.212,68.342,0,1.472.388
144522250,11.218.237,353.854,25.526,5.557.951
102318439,11.132.656,7.385,0,166.534
145990935,11.099.095,271.991,26.021,4.562.193
22223666,11.053.821,56.579,0,565.832
158259039,11.045.170,92.873,0,2.219.996
159845792,11.005.900,117.694,14.438,2.720.952
159042733,10.993.577,1.144.493,18.932,13.073.769
158682944,10.966.028,16.423,0,1.634.810
158218813,10.938.344,134.621,0,1.570.311
155284581,10.851.980,78.625,0,11.769.066
158533876,10.778.109,138.675,9.936,2.551.306
160627262,10.703.324,141.493,0,3.109.711
157932369,10.669.217,354.624,27.987,8.465.519
158790560,10.633.108,5.710,0,745.800
160218279,10.582.637,57.141,21.444,1.157.044
160692373,10.502.347,39.428,2.399,2.013.508
158807390,10.491.449,7.786,0,610.631
158691734,10.476.647,2.175.242,13.733,25.244.630
158837474,10.465.731,234.944,51.032,3.710.267
160314770,10.464.540,106.110,6.377,1.370.124
158715144,10.330.115,117.782,0,2.539.854
156398298,10.293.666,69.240,4.113,1.392.273
137982154,10.282.363,2.632,17.756,386.913
70362617,10.264.731,35.459,0,910.708
158814183,10.206.729,3.653,14.627,517.958
158220278,10.185.988,161.452,0,4.131.246
158765913,10.117.718,73.980,0,3.214.924
160515678,10.085.658,44.266,0,875.530
158298963,10.025.295,1.621.028,55.062,19.545.877
119751157,9.997.821,10.058,0,1.513.936
158765062,9.895.945,38.375,0,628.956
153554692,9.888.524,212.557,2.208,2.876.850
168344078,9.819.401,54.957,0,555.060
160083492,9.572.029,87.368,0,898.489
151133604,9.478.236,227.875,35.234,4.883.437
158745636,9.475.189,1.715,0,1.045.832
90148141,9.470.493,151.489,0,2.197.302
149400613,9.452.962,574.304,1.784,12.270.269
114579801,9.410.159,69.789,0,4.097.115
162662749,9.362.792,5.231,0,73.846
158544618,9.334.151,32.869,0,813.252
142893321,9.204.576,86.798,8.735,1.833.638
139083301,9.077.888,379.219,0,5.847.678
158833470,9.013.486,2.957.647,737,51.814.846
158809787,8.957.126,56.727,0,905.895
158723722,8.942.597,172.949,951,2.614.387
158179510,8.861.353,3.607,0,141.704
154145663,8.832.169,637.700,2.797,20.943.454
158514262,8.799.663,132.446,18.772,2.827.592
158796519,8.764.661,194.633,6.773,2.273.678
153561367,8.648.430,750.396,11.969,8.056.705
159667384,8.606.630,42.765,0,488.699
158803728,8.591.127,27.061,6.128,600.304
126342898,8.574.275,566.063,12.369,6.915.333
138130056,8.552.949,46.034,14.346,1.643.559
158718475,8.520.628,219.777,38.599,3.121.487
86202511,8.483.112,217.805,0,2.568.833
136856122,8.479.463,81.875,0,1.102.177
158818360,8.454.346,941,0,464.732
159352412,8.433.082,36.646,1.911,529.088
57157786,8.412.327,48.744,0,707.913
158834045,8.347.913,401.165,2.846,5.213.490
158800031,8.312.998,51.268,0,771.585
155966702,8.296.484,222.348,13.391,3.311.687
158697947,8.288.759,21.008,0,925.556
158818694,8.283.179,58.999,0,2.770.505
158188895,8.266.473,11.206,0,1.239.168
158817867,8.251.382,72.300,98,1.089.700
159866613,8.171.764,2.543,0,25.430
158780129,8.138.665,47.024,0,1.173.127
158738712,8.127.874,199.395,0,6.703.077
152859623,8.103.788,11.130,0,2.663.394
158720444,8.099.357,52.856,3.251,1.576.913
126998280,8.078.427,11.377,0,1.245.523
126063152,8.044.062,8.000.866,56.513,162.923.227
164395960,8.039.138,0,0,4.517
82677024,8.011.379,52.674,129.847,6.309.253
153054210,8.009.431,102.269,0,1.064.770
8607345,7.967.056,4.879,0,212.449
14502856,7.920.880,128.968,0,1.866.508
158731032,7.855.447,15.740,0,374.168
158785478,7.778.217,2.369,0,186.962
137441761,7.702.524,145.463,0,2.337.409
158815312,7.702.407,5.281,0,175.867
158442483,7.678.551,901.255,58.086,10.798.366
158035873,7.595.718,5.195,0,206.960
158787334,7.522.379,231.133,0,3.795.408
158709287,7.492.604,1.170,0,389.302
138229193,7.471.412,6.588,0,77.996
158748742,7.467.349,0,0,258.827
158713234,7.441.672,15.849,0,259.745
153369896,7.438.319,1.570,0,39.439
151404667,7.436.818,191.240,0,2.056.125
161483248,7.427.322,19.437,0,207.590
155361762,7.399.230,24.377,0,259.674
158446634,7.398.893,0,0,182.839
121482604,7.388.078,134.837,2.490,12.028.425
133554132,7.278.650,176.891,7.814,4.425.373
158777395,7.262.453,13.209,0,198.713
158642298,7.227.993,226.127,0,2.660.280
139926825,7.202.236,98.076,0,1.875.918
158397729,7.216.904,0,0,251.459
158298911,7.169.829,39.594,0,3.182.550
155610556,7.151.655,9.724,0,97.240
142301319,7.144.278,78.965,0,810.339
158787023,7.087.683,39.797,0,652.645
158734438,7.061.996,13.529,0,1.658.508
158695115,7.032.791,20.335,0,1.162.617
158806281,7.016.488,2.367,0,353.253
158700823,7.004.645,86.466,0,1.069.951
153575416,6.933.634,52.069,0,601.557
158358859,6.898.801,66.941,0,1.368.974
149666733,6.888.298,245.992,4.659,4.458.093
142461944,6.828.492,76.014,11.393,1.250.925
158725062,6.809.866,336.506,0,3.990.526
158752919,6.784.771,6.626,0,1.033.533
158620681,6.758.328,36.154,0,568.713
